Expected Output    Received Output   Remarks
============================================
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
1    0   Failure
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
1    0   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
1    0   Failure
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
1    0   Failure
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
1    0   Failure
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    1   Failure
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
1    1   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
0    0   Success
1    0   Failure
1    0   Failure
0    0   Success
0    0   Success
